Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your gender identity?,,What is your racial or ethnic identity?,,What is your disability status? (Visible disabilities and invisible disabilities like diabetes and anxiety included),Choose the department you are in,,What is your age?,Did you join KSMC through a merger or acquisition?,Choose one: I joined KSMC...,Please respond with your sentiment towards each statement.,,,,,,,Please respond with your sentiment towards each statement,,,,,,Are there any diversity and inclusion activities or organizations you would like to see KSMC prioritize over the next year? Please note these organizations do not have to be based in Indiana.,Do you have any feedback regarding the survey itself?
12228247813,396321369,12/04/2020 12:13:11 PM,12/04/2020 12:14:35 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,18-24,No,before the split from KSM Accounting in March 2019.,,,,,,,,,,,,,,,
12228245270,396321369,12/04/2020 12:12:03 PM,12/04/2020 12:18:53 PM,,,,,,Man,,White,,"No, I do not have a disability.",Marketing,,25-34,No,before the move to the downtown office in April 2018.,Agree,Strongly Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,
12228237213,396321369,12/04/2020 12:10:32 PM,12/04/2020 12:13:02 PM,,,,,,Man,,White,,"No, I do not have a disability.",Sales,,18-24,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Agree,Don't Know/Not Applicable,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Don't Know / Not Applicable,Don't Know / Not Applicable,,
12228236864,396321369,12/04/2020 12:09:27 PM,12/04/2020 12:42:28 PM,,,,,,,,,,,,,,,,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,"support for political diversity, inclusion, and healing; not just following the general direction of big tech or MSM    support for religious diversity (not just an absence of religious beliefs but understanding and embracing people for who they are and what they believe)    support for diversity and inclusion in the space of any other strong beliefs (vaxers and anti-vaxers, public/private schooling and home schooling, back the blue and police reform, etc.)    and for all of the above...the use of data in an ethical way...letting the data speak for itself holistically, via statistically significant conclusions (or not concluding if appropriate), and not fitting to any particular political agenda.","To this point, it appears the survey is focused primarily on the age-old categories of race/skin color/culture/ethnicity (however you choose to describe this space), sex, sexual orientation, and age.  There is so much more to diversity and inclusion than these things, and any level of discrimination against any of them is already illegal.  As such, what do we really hope to gain by focusing more here?  If this is where we stop, it will be beyond disappointing.  And if we end up actually applying racism, sexism, or ageism in order to ""help"" these items by promoting or treating anyone differently because of these things (like applying affirmative action), we're not making this space better.  Saying we need to have X number of a certain race, sex, sexual orientation, or age in our company, or any level of our company, discriminates against anyone who is in the majority of any of these categories, so that's clearly not the solution.  Donating money to, or partnering with, organizations that claim to work in these spaces but whose primary purpose is actually just to support one political ideology is also not helpful and hurts about half of our people.  And what about religion?  What are we doing to support our country's stance on freedom of religion and create a space where it's not spoken about negatively?  I sincerely hope that our focus in this space is more about understanding everyone and accepting them, especially if/when they have different beliefs, of any kind.  History seems to have shown that the more we focus on the differences between us, the more it actually divides us.  And we have plenty of that in society already.  I'd rather see us focus on our similarities and pursue bringing us together as people who accept one another, whether it is ""trendy"" or not."
12228232969,396321369,12/04/2020 12:09:49 PM,12/04/2020 12:17:29 PM,,,,,,Man,,African American or Black,,"No, I do not have a disability.",Private Sector Services,,25-34,No,"after May 26, 2020.",Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,"PPHS - Purdue Polytechnic High School. I've actively served here for 4 years and don't believe there's an organization making a greater impact on improving outcomes for the youth minority in the city.     With their first graduating class PPHS will grow the African American & Latino enrollment coming into Purdue by 400% annually with just this first class.     There are less than 1,000 African Americans and 1,000 Hispanics on campus with nearly 34,000 undergraduate students a year.     They are creating access and changing futures by providing a pathway to Purdue University for minorities. ",Will these numbers be published? 
12228230441,396321369,12/04/2020 12:08:51 PM,12/04/2020 12:11:33 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,45-54,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,I can't think of anything.  I feel we have a good focus on diversity and inclusion and it makes us a strong company.,Not that I can think of.
12228227972,396321369,12/04/2020 12:08:21 PM,12/04/2020 12:10:56 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,18-24,No,"before the acquisition of Advocate on May 26, 2020.",Agree,Strongly Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,I would love to see some sort of pro-bono work or advisement for minority-owned businesses or charities.,
12225977673,396321369,12/03/2020 07:31:17 PM,12/03/2020 07:34:13 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Public Sector Services,,45-54,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,,
12225017553,396321369,12/03/2020 02:15:09 PM,12/03/2020 02:23:32 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,before the split from KSM Accounting in March 2019.,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,,
12224564499,396321369,12/03/2020 12:01:34 PM,12/03/2020 12:06:15 PM,,,,,,Woman,,White,,"Yes, I have a disability (or previously had a disability)",Public Sector Services,,45-54,No,"before the acquisition of Advocate on May 26, 2020.",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Peace Learning Center ,"For being anonymous, there is a lot of identifying information that is asked for."
12224233824,396321369,12/03/2020 10:32:25 AM,12/03/2020 10:42:07 AM,,,,,,Man,,White,,"Yes, I have a disability (or previously had a disability)",Data and Development Services,,25-34,Yes,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,"Bias training, data bias education, and discussion on hidden disabilities.",
12224173399,396321369,12/03/2020 10:17:49 AM,12/03/2020 10:21:22 AM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,before the split from KSM Accounting in March 2019.,Agree,Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,not specifically,"keep it up, this is important stuff"
12224036374,396321369,12/03/2020 09:41:57 AM,12/03/2020 09:44:19 AM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,before the move to the downtown office in April 2018.,Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,,
12223847263,396321369,12/02/2020 02:19:13 PM,12/03/2020 08:52:42 AM,,,,,,Man,,White,,"Yes, I have a disability (or previously had a disability)",Public Sector Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",,,,,,,,,,,,,,,
12223843236,396321369,12/03/2020 08:50:36 AM,12/03/2020 08:53:40 AM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,55-64,Yes,"after May 26, 2020.",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,None,None
12223788289,396321369,12/03/2020 08:33:22 AM,12/03/2020 08:38:10 AM,,,,,,Man,,White,,I prefer not to disclose.,Technology Services,,25-34,No,before the move to the downtown office in April 2018.,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,
12223747224,396321369,12/03/2020 08:21:44 AM,12/03/2020 08:30:14 AM,,,,,,Man,,White,,"No, I do not have a disability.",Operations,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Don't Know/Not Applicable,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,,
12223731756,396321369,12/03/2020 08:16:38 AM,12/03/2020 08:20:10 AM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,
12223579960,396321369,12/03/2020 07:27:39 AM,12/03/2020 07:31:03 AM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,before the move to the downtown office in April 2018.,Agree,Agree,Agree,Don't Know/Not Applicable,Agree,Don't Know/Not Applicable,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,,
12222653528,396321369,12/02/2020 11:29:41 PM,12/02/2020 11:32:29 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,45-54,No,before the move to the downtown office in April 2018.,Agree,Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,
12222613621,396321369,12/02/2020 10:48:11 PM,12/02/2020 11:08:01 PM,,,,,,Woman,,East Asian,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,
12222337094,396321369,12/02/2020 08:34:28 PM,12/02/2020 08:42:09 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,before the move to the downtown office in April 2018.,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Girls Inc. Indy and other next gen organizations that are helping make room for a generation where anyone can feel that they can work hard and earn the corner office.,"I think there is a difference between our company's intentions towards diversity, and meaningful action. I think while our leadership & our company is in no way dispassionate about diversity, I think in the same way Mark has suggested that we change the way consulting is thought of, we could completely move the bar on the diversity and inclusion expectations of a tech consulting firm with an HQ in the midwest. I'd like for our company to have that passionate an aim. I also think we have to do all of this authentically, and very carefully as half of our business is in the public sector. This cannot be through cheap donations to organizations, but rather through a display of radical diversity and inclusion that transforms our business and our clients/communities."
12222318147,396321369,12/02/2020 08:25:30 PM,12/02/2020 08:28:47 PM,,,,,,Man,,White,,"No, I do not have a disability.",Operations,,35-44,No,before the move to the downtown office in April 2018.,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,goodwill of central and southern indiana,
12222258591,396321369,12/02/2020 07:58:08 PM,12/02/2020 08:01:57 PM,,,,,,Man,,White,,I prefer not to disclose.,Technology Services,,45-54,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,,
12222103522,396321369,12/02/2020 06:57:06 PM,12/02/2020 07:00:48 PM,,,,,,Man,,White,,"No, I do not have a disability.",Sales,,45-54,No,before the split from KSM Accounting in March 2019.,Strongly Agree,Strongly Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,,
12221800412,396321369,12/02/2020 05:16:04 PM,12/02/2020 05:20:50 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Private Sector Services,,55-64,No,before the move to the downtown office in April 2018.,Agree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Listen to webinar why diversity is to important to our community and KSMC.,
12221782790,396321369,12/02/2020 05:10:39 PM,12/02/2020 05:12:54 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,35-44,Yes,"after May 26, 2020.",Agree,Agree,Agree,Don't Know/Not Applicable,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,It seems like holidays celebrating diversity like Martin Luther King Day should be possibly considered as company holidays.,
12221773797,396321369,12/02/2020 05:06:50 PM,12/02/2020 05:11:36 PM,,,,,,Man,,South Asian,,"No, I do not have a disability.",Public Sector Services,,35-44,Yes,"after May 26, 2020.",Agree,Agree,Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,,
12221750600,396321369,12/02/2020 04:59:56 PM,12/02/2020 05:03:46 PM,,,,,,Woman,,South Asian,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"after May 26, 2020.",Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Agree,Strongly Agree,Don't Know/Not Applicable,Agree,Don't Know / Not Applicable,Agree,Agree,Agree,Neither Agree nor Disagree,,
12221511711,396321369,12/02/2020 03:29:10 PM,12/02/2020 03:31:15 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Operations,,18-24,No,before the acquisition of ConnectThink in June 2019.,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,
12221493713,396321369,12/02/2020 03:23:28 PM,12/02/2020 03:35:03 PM,,,,,,Man,,Hispanic or Latinx,,"No, I do not have a disability.",Data and Development Services,,35-44,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,"No at this time, I don't have any in mind. ",Short survey allows more time to share deep feelings/ ideas but I think is a little bit general.
12221443423,396321369,12/02/2020 03:06:14 PM,12/03/2020 03:03:24 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,"before the acquisition of Advocate on May 26, 2020.",Agree,Agree,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Agree,Agree,Agree,Agree,Don't Know / Not Applicable,Don't Know / Not Applicable,Don't Know / Not Applicable,Nope,
12221334007,396321369,12/02/2020 02:36:28 PM,12/02/2020 02:39:29 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,before the move to the downtown office in April 2018.,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,
12221308056,396321369,12/02/2020 02:27:44 PM,12/03/2020 07:39:19 PM,,,,,,Woman,,East Asian,,"No, I do not have a disability.",Data and Development Services,,25-34,No,before the split from KSM Accounting in March 2019.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,
12221269402,396321369,12/02/2020 02:17:02 PM,12/02/2020 02:20:43 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,before the move to the downtown office in April 2018.,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,No,"No, thank you! "
12221260510,396321369,12/02/2020 02:14:46 PM,12/02/2020 02:16:46 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,18-24,No,"after May 26, 2020.",Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Agree,Pride,n/a
12221240823,396321369,12/02/2020 02:08:01 PM,12/02/2020 02:18:26 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,before the acquisition of ConnectThink in June 2019.,Strongly Agree,Agree,Strongly Agree,Don't Know/Not Applicable,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,,
12221237684,396321369,12/02/2020 02:07:42 PM,12/02/2020 02:10:14 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,before the acquisition of ConnectThink in June 2019.,Disagree,Disagree,Disagree,Disagree,Agree,Don't Know/Not Applicable,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Don't Know / Not Applicable,Agree,Neither Agree nor Disagree,,
12221190915,396321369,12/02/2020 01:53:47 PM,12/02/2020 01:54:46 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,35-44,No,before the move to the downtown office in April 2018.,,,,,,,,,,,,,,,
12221153696,396321369,12/02/2020 01:41:08 PM,12/02/2020 01:56:34 PM,,,,,,Man,,White,German/Dutch,"No, I do not have a disability.",Technology Services,,35-44,No,"before the move to remote due to COVID-19 on March 13, 2020.",Neither Agree nor Disagree,Agree,Agree,Don't Know/Not Applicable,Don't Know/Not Applicable,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Disagree,"It can be hard to sincerely engage and be effective in regards to diversity and inclusion. I would suggest reaching out to minority staff in the company, and listen to those voices.",Nope
12221148159,396321369,12/02/2020 01:38:10 PM,12/02/2020 01:41:22 PM,,,,,,Woman,,South Asian,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",,,,,,,,,,,,,,,
12221142727,396321369,12/02/2020 01:38:57 PM,12/02/2020 01:41:07 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,before the move to the downtown office in April 2018.,Agree,Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,
12221137150,396321369,12/02/2020 01:35:49 PM,12/02/2020 01:45:03 PM,,,,,,Man,,White,,"No, I do not have a disability.",Public Sector Services,,25-34,No,"after May 26, 2020.",Neither Agree nor Disagree,Agree,Disagree,Don't Know/Not Applicable,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Black Lives Matter,no. it was well executed.
12221107790,396321369,12/02/2020 01:28:25 PM,12/02/2020 01:30:46 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Private Sector Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,
12221098628,396321369,12/02/2020 01:25:31 PM,12/02/2020 01:30:34 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,before the move to the downtown office in April 2018.,Agree,Agree,Agree,Don't Know/Not Applicable,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,,
12221080928,396321369,12/02/2020 01:19:56 PM,12/02/2020 01:25:41 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,before the acquisition of ConnectThink in June 2019.,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know / Not Applicable,Agree,Agree,Agree,Agree,Disagree,More activities centered around women and PRIDE.,Great survey. I appreciate the thought and effort displayed by the survey.
12221072993,396321369,12/02/2020 01:17:58 PM,12/02/2020 01:19:50 PM,,,,,,Man,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"after May 26, 2020.",Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Don't Know/Not Applicable,Agree,Strongly Agree,Don't Know / Not Applicable,Agree,Don't Know / Not Applicable,Don't Know / Not Applicable,,
12221070461,396321369,12/02/2020 01:17:05 PM,12/02/2020 01:19:59 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Operations,,35-44,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,
12221068323,396321369,12/02/2020 01:16:27 PM,12/02/2020 01:18:12 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"after May 26, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know / Not Applicable,Don't Know / Not Applicable,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree,,
